t,row,roll,pitch,yaw,i_arduino,i_servos
14056,0,7.11,0.05,0.00,-0.06,-0.17
14110,1,14.31,-1.39,-0.10,-0.11,1.30
14166,3,17.02,-0.39,1.17,-0.06,2.88
14221,4,9.37,0.38,2.19,0.04,3.01
14276,6,15.83,1.19,2.34,-0.15,2.27
14331,7,22.32,1.47,2.29,0.04,1.79
14386,9,27.95,1.50,2.71,-0.11,6.55
14441,10,33.43,1.41,3.60,0.09,2.76
14496,12,25.14,1.00,3.60,-0.01,1.30
14552,13,30.68,0.35,3.50,-0.01,3.13
14607,15,35.98,0.66,3.58,0.14,2.88
14662,16,42.00,0.78,3.77,0.04,4.35
14717,18,46.89,1.44,3.85,-0.06,4.35
14779,20,51.98,1.39,4.29,-0.06,3.13
14834,21,56.57,0.80,4.77,-0.11,3.62
14889,23,60.49,0.08,4.38,0.04,1.66
14945,24,64.62,-0.61,3.87,-0.11,1.79
15000,26,69.03,-0.92,3.98,-0.11,2.52
15055,27,73.95,-1.52,4.31,-0.11,5.33
15110,29,78.06,-1.11,3.99,-0.06,4.72
15165,30,82.00,-0.32,3.90,0.04,5.94
15220,32,85.03,-0.21,3.85,-0.01,6.43
15276,33,88.96,0.49,3.93,0.09,5.08
15331,35,92.19,0.22,3.22,-0.01,9.12
15386,36,95.24,0.26,2.44,-0.06,4.84
15441,38,98.83,0.81,2.64,-0.01,4.96
15496,39,102.17,0.60,2.60,0.04,5.57
15551,41,105.35,1.04,2.06,0.04,6.43
15606,42,108.63,0.60,1.39,0.09,5.57
15661,44,112.56,0.49,0.54,-0.06,6.79
15716,45,116.04,0.38,-0.61,-0.01,5.33
15771,47,119.60,0.29,-1.70,0.04,4.11
15826,48,123.01,-0.11,-1.96,-0.06,3.86
15882,50,126.31,0.07,-1.55,-0.01,1.54
15937,51,114.99,0.46,-1.39,0.04,1.17
15992,53,103.79,0.76,-2.01,0.04,2.40
16047,54,91.75,1.16,-3.34,-0.01,3.98
16102,56,80.07,2.22,-4.23,-0.06,5.94
16157,57,83.33,2.58,-3.19,0.04,4.11
16212,59,72.29,3.09,-2.00,-0.15,2.40
16274,61,60.51,3.72,-0.92,0.04,5.21
16328,62,63.30,4.03,-0.05,-0.11,2.52
16384,64,65.58,4.96,0.99,-0.20,2.03
16439,65,68.15,5.30,1.07,0.09,4.11
16494,67,70.81,4.97,0.58,-0.01,2.15
16549,68,74.20,4.00,0.18,0.04,3.98
16604,70,79.31,2.98,-0.01,0.04,3.13
16659,71,83.24,1.88,0.38,-0.06,3.13
16714,73,88.32,1.11,0.77,-0.01,2.15
16770,74,79.25,0.43,0.24,-0.11,2.64
16825,76,83.26,0.35,-0.43,0.14,4.23
16880,77,87.32,1.18,-0.55,-0.06,4.60
16935,79,91.92,0.81,-0.87,-0.11,6.43
16997,81,81.88,0.83,-1.91,-0.01,4.72
17052,82,86.39,2.07,-2.46,-0.06,6.18
17107,84,90.68,2.44,-3.00,-0.01,6.06
17163,85,95.84,3.07,-3.60,0.04,4.23
17218,87,86.00,3.25,-4.32,-0.11,3.25
17273,88,75.46,3.49,-5.11,-0.06,4.35
17328,90,65.13,3.52,-5.05,-0.06,2.40
17383,91,55.95,3.33,-4.73,-0.01,3.86
17438,93,46.30,3.17,-4.88,-0.11,4.47
17494,94,51.25,2.95,-4.76,-0.06,4.23
17549,96,56.23,3.16,-3.89,0.14,6.31
17604,97,46.56,3.34,-3.10,-0.15,3.62
17659,99,35.98,3.13,-2.37,-0.01,3.62
17714,100,41.01,3.04,-1.64,0.04,3.74
17769,102,45.96,3.18,-0.98,0.04,2.88
17824,103,35.70,3.17,-0.76,-0.15,4.11
17880,105,40.64,2.89,-0.85,-0.06,6.18
17941,107,44.88,2.42,-1.03,0.14,2.52
17996,108,49.60,1.87,-1.09,-0.15,1.79
18051,110,54.80,1.98,-1.06,-0.06,2.15
18106,111,59.43,1.69,-1.15,-0.01,0.93
18161,113,64.52,0.91,-1.26,0.04,1.30
18216,114,69.52,1.10,-1.47,-0.11,4.23
18272,116,74.07,0.69,-1.59,-0.06,3.25
18327,117,79.52,1.04,-1.78,-0.11,4.72
18382,119,84.68,1.32,-2.49,-0.01,5.94
18437,120,89.40,2.64,-3.44,-0.01,4.84
18492,122,93.92,3.73,-4.88,0.09,5.33
18547,123,83.60,3.97,-5.89,0.04,2.76
18603,125,73.37,4.43,-6.33,-0.15,2.64
18664,127,64.46,4.24,-5.49,-0.11,5.57
18719,128,54.71,3.73,-5.09,-0.01,5.33
18775,130,44.70,3.08,-5.06,-0.01,3.62
18830,131,48.93,2.86,-4.73,-0.06,4.60
18885,133,38.18,2.80,-3.52,-0.06,3.62
18940,134,42.52,3.17,-2.83,-0.01,1.54
18996,136,46.56,3.53,-2.34,-0.01,3.74
19051,137,50.53,3.90,-2.12,-0.06,3.74
19106,139,54.11,3.99,-2.08,0.04,0.93
19161,140,58.50,4.08,-2.09,0.14,1.42
19216,142,62.90,4.11,-2.29,-0.25,0.81
19271,143,67.27,3.12,-2.02,-0.11,2.52
19326,145,72.04,2.35,-1.67,-0.01,3.98
19382,146,62.87,1.62,-1.87,-0.15,3.13
19437,148,68.61,1.15,-2.22,-0.06,2.88
19492,149,74.69,1.79,-2.77,-0.11,2.88
19547,151,65.86,2.69,-3.14,-0.11,2.27
19602,152,56.64,3.32,-4.08,0.19,1.54
19657,154,61.48,3.88,-5.46,0.14,2.15
19713,155,66.53,3.85,-5.39,-0.06,2.40
19768,157,57.03,3.77,-4.75,-0.06,4.47
19823,158,47.44,4.15,-4.54,-0.06,4.72
19878,160,37.72,4.70,-4.22,-0.20,6.43
19933,161,27.78,5.78,-3.77,0.04,2.40
19988,163,32.03,7.01,-3.50,-0.25,2.27
20043,164,37.07,7.05,-2.79,0.09,2.76
20098,166,42.55,7.31,-2.59,0.14,1.17
20153,167,46.88,6.78,-3.09,0.14,0.93
20208,169,51.02,6.30,-2.96,-0.11,3.13
20263,170,55.87,5.64,-3.04,-0.01,1.54
20319,172,60.68,4.61,-2.84,0.04,2.15
20374,173,66.33,4.09,-2.28,-0.01,3.62
20429,175,71.63,4.23,-2.82,-0.01,3.01
20484,176,76.74,4.41,-3.39,-0.06,3.13
20539,178,81.90,5.23,-3.65,-0.06,2.15
20594,179,72.00,4.94,-4.06,-0.01,2.40
20649,181,62.72,5.58,-5.10,0.04,6.31
20705,182,67.12,5.34,-5.99,0.04,2.27
20760,184,57.55,5.02,-5.82,-0.06,2.03
20815,185,48.12,4.99,-5.57,0.04,3.37
20870,187,38.33,5.58,-5.47,-0.01,3.98
20925,188,43.79,5.95,-4.61,0.09,2.03
20980,190,33.49,6.71,-4.09,-0.01,3.50
21036,191,37.40,6.93,-3.56,0.09,2.76
21091,193,41.81,7.29,-3.06,-0.01,0.93
21146,194,46.58,7.40,-3.03,-0.11,0.93
21201,196,50.87,6.98,-3.40,-0.06,0.69
21256,197,55.47,6.54,-3.22,0.14,0.56
21311,199,60.47,6.43,-3.30,0.09,2.52
21366,200,65.27,6.18,-3.07,-0.06,1.91
21421,202,56.34,5.98,-2.99,0.09,7.77
21476,203,61.07,5.85,-3.49,0.14,4.35
21531,205,66.46,5.63,-3.72,0.09,4.23
21586,206,72.38,7.06,-3.67,-0.11,4.96
21642,208,62.57,7.22,-4.18,0.14,4.11
21697,209,68.68,8.18,-4.86,0.19,4.23
21752,211,59.27,8.90,-5.83,-0.01,3.74
21807,212,64.32,8.51,-6.67,0.04,3.50
21862,214,56.03,7.80,-6.21,0.14,4.35
21917,215,46.90,7.58,-5.72,-0.01,4.35
21972,217,37.60,7.03,-5.68,-0.06,3.13
22028,218,28.40,6.85,-5.51,-0.01,2.88
22083,220,18.93,6.92,-5.15,-0.15,3.50
22138,221,24.67,6.78,-4.15,0.04,2.64
22193,223,15.18,6.60,-3.84,0.09,5.33
22248,224,20.75,6.35,-4.09,-0.11,1.42
22303,226,25.67,6.01,-4.17,0.04,1.66
22359,227,31.34,6.25,-3.85,0.09,0.69
22414,229,37.34,5.59,-3.57,-0.20,1.79
22469,230,42.81,5.17,-3.40,0.14,4.35
22524,232,49.43,4.96,-3.67,-0.11,5.45
22580,233,54.63,5.26,-4.01,-0.01,3.50
22635,235,60.82,6.01,-4.66,-0.11,6.31
22690,236,52.44,6.23,-5.19,0.04,4.60
22745,238,44.26,5.97,-6.37,0.19,3.62
22800,239,36.09,5.72,-7.12,0.04,3.74
22855,241,28.91,5.59,-6.95,0.09,6.67
22910,242,20.59,4.98,-6.81,-0.01,3.25
22966,244,12.55,5.02,-6.24,0.09,5.57
23021,245,4.25,4.95,-6.16,-0.06,3.13
23076,247,10.51,4.35,-6.00,0.14,0.81
23131,248,16.90,4.51,-5.78,0.04,2.64
23186,250,22.56,5.07,-5.59,-0.01,1.30
23241,251,28.23,5.51,-5.42,0.09,1.91
