t,row,roll,pitch,yaw,i_arduino,i_servos
4943,0,7.12,0.03,0.00,-0.03,0.22
4997,1,14.29,-0.01,-0.51,0.02,2.54
5052,3,21.00,1.77,0.31,0.11,3.64
5107,4,27.58,1.68,1.90,-0.03,0.71
5163,6,19.24,1.78,2.02,0.06,1.44
5224,8,24.75,1.56,1.89,0.06,1.81
5278,9,30.16,2.39,2.13,-0.08,4.74
5334,11,35.89,2.45,2.80,-0.03,1.69
5389,12,41.35,1.57,3.02,0.02,3.52
5444,14,46.11,1.60,3.20,-0.08,4.74
5499,15,50.37,1.96,3.30,0.02,2.67
5554,17,55.85,0.87,3.34,0.02,2.79
5609,18,59.64,1.23,3.18,-0.13,2.79
5664,20,64.65,1.21,3.17,-0.03,1.44
5720,21,68.49,1.29,2.63,-0.03,1.57
5775,23,72.65,0.99,2.39,-0.03,1.69
5830,24,76.63,0.77,2.07,0.02,2.67
5885,26,80.40,0.34,1.84,-0.08,4.50
5946,28,84.22,-0.16,2.35,-0.03,4.62
6000,29,87.56,-0.31,2.70,-0.08,8.41
6055,31,91.47,0.02,2.89,0.06,3.89
6111,32,95.13,0.05,2.88,0.02,4.13
6166,34,98.65,0.47,2.60,-0.13,3.64
6221,35,101.72,0.07,1.85,-0.03,4.87
6276,37,105.11,0.86,1.81,0.02,5.48
6331,38,108.27,0.74,2.10,0.11,4.50
6386,40,112.16,1.00,2.03,0.02,5.23
6441,41,100.54,1.27,1.69,0.02,4.13
6497,43,104.33,1.17,1.60,-0.08,2.06
6552,44,94.27,1.03,1.21,-0.08,4.25
6607,46,83.62,0.37,0.66,0.06,4.13
6662,47,88.34,0.18,0.32,-0.08,2.18
6717,49,78.24,0.38,0.06,-0.18,1.44
6772,50,68.17,0.75,0.01,0.06,0.34
6828,52,58.56,1.15,-0.02,0.16,0.71
6888,54,48.40,1.25,-0.42,0.02,6.21
6942,55,38.43,2.11,-0.95,0.02,2.42
6998,57,42.74,2.67,-0.57,0.02,1.57
7053,58,33.40,3.29,0.68,-0.03,3.03
7108,60,23.53,4.14,1.61,-0.28,5.48
7163,61,13.11,4.71,2.58,0.06,4.01
7218,63,19.54,5.12,3.09,-0.08,5.72
7273,64,23.84,5.14,2.46,0.11,2.67
7328,66,28.52,4.08,2.01,-0.08,1.57
7390,68,34.64,2.83,1.74,0.06,2.06
7444,69,40.61,1.66,1.66,-0.13,2.42
7499,71,46.07,1.29,1.90,-0.08,3.64
7554,72,52.63,-0.54,2.44,0.06,3.15
7609,74,44.31,-1.51,2.01,0.02,3.52
7664,75,49.43,-1.56,1.39,-0.03,4.13
7719,77,55.70,-1.70,0.91,-0.03,8.29
7781,79,61.92,-1.83,0.49,-0.08,3.89
7835,80,53.30,-1.69,0.06,0.02,6.21
7890,82,58.95,-0.67,-0.29,-0.03,2.42
7946,83,50.53,-0.47,-1.23,0.06,4.25
8001,85,56.65,0.16,-2.26,0.06,2.67
8056,86,48.10,1.22,-2.92,-0.03,3.28
8111,88,39.59,1.53,-3.43,-0.18,2.91
8166,89,31.03,1.54,-3.79,-0.03,2.18
8221,91,23.02,1.53,-3.94,-0.03,4.74
8276,92,15.04,1.30,-3.88,0.06,3.40
8332,94,6.60,1.20,-3.74,0.02,2.54
8387,95,12.58,1.29,-2.93,-0.08,5.72
8442,97,4.21,1.60,-1.91,-0.03,4.74
8497,98,9.72,1.99,-0.72,-0.03,2.79
8552,100,16.01,2.12,0.06,-0.08,4.99
8607,101,22.02,2.53,0.45,-0.08,2.54
8663,103,26.94,2.53,0.60,-0.03,2.67
8718,104,32.04,2.04,0.90,-0.08,4.87
8773,106,36.99,1.72,1.13,0.06,2.18
8828,107,41.29,1.67,0.51,-0.03,2.18
8884,109,46.42,1.01,0.71,-0.03,1.32
8939,110,51.57,0.41,1.07,-0.03,1.08
8994,112,56.46,0.31,0.74,0.06,5.97
9049,113,61.05,0.15,0.83,-0.03,2.18
9104,115,66.48,-0.58,1.03,-0.08,2.54
9159,116,71.85,-0.41,0.64,0.02,4.50
9214,118,77.46,-0.21,-0.04,0.06,6.70
9276,120,82.44,0.58,-0.92,0.02,1.93
9331,121,73.16,1.61,-1.68,-0.03,4.99
9387,123,63.86,2.20,-3.17,0.02,3.03
9442,124,54.25,2.31,-4.10,-0.03,1.44
9497,126,45.66,2.27,-3.76,-0.03,7.07
9552,127,37.42,2.09,-2.96,-0.08,4.01
9607,129,28.28,1.83,-2.75,-0.08,2.18
9662,130,32.90,0.81,-2.54,-0.03,4.38
9717,132,23.96,0.86,-1.72,0.02,5.11
9773,133,14.99,1.06,-0.71,-0.13,1.20
9828,135,20.90,1.72,-0.53,-0.18,4.50
9883,136,26.09,2.34,-0.65,0.11,1.44
9938,138,31.80,2.01,-1.02,0.06,0.83
9994,139,37.01,1.76,-0.95,-0.03,2.54
10049,141,42.19,1.95,-0.88,0.21,0.83
10104,142,46.57,1.66,-1.03,0.06,2.18
10159,144,52.44,1.14,-1.26,-0.03,2.18
10214,145,57.94,1.05,-0.99,-0.03,2.30
10269,147,63.26,1.10,-0.92,-0.13,6.82
10324,148,68.70,1.07,-1.30,-0.08,3.03
10380,150,59.90,1.56,-1.51,-0.08,2.30
10435,151,65.82,2.36,-1.85,-0.08,2.18
10490,153,56.84,2.67,-2.59,0.02,2.06
10545,154,47.29,3.12,-3.54,0.06,0.83
10600,156,52.74,3.24,-3.51,-0.03,3.52
10655,157,43.31,3.30,-2.83,-0.08,4.62
10711,159,33.43,3.56,-2.05,0.02,1.93
10772,161,23.35,4.03,-1.22,0.11,4.50
10827,162,28.01,4.48,-0.94,-0.13,0.83
