Sensores listos
Sistema listo
t,row,roll,pitch,yaw,i_arduino,i_servos
11474,187,19.98,7.68,0.40,-0.05,1.46
11530,189,11.30,7.77,0.91,-0.05,6.47
11585,190,16.82,8.29,1.34,0.00,1.46
11640,192,22.12,8.67,2.00,-0.05,2.20
11695,193,26.99,8.95,2.40,0.05,1.22
11750,195,32.56,8.79,1.95,-0.05,0.73
11805,196,37.70,8.59,1.71,0.05,0.37
11860,198,43.30,8.50,1.83,-0.05,0.98
11916,199,48.74,8.01,1.95,0.00,1.83
11971,201,54.19,7.86,2.21,-0.09,0.98
12026,202,59.63,7.68,1.92,-0.09,4.15
12081,204,64.78,7.62,1.67,0.20,3.05
12136,205,69.60,7.90,1.76,-0.09,5.50
12191,207,75.47,8.75,1.57,-0.05,6.23
12247,208,80.39,8.94,0.97,-0.05,3.54
12302,210,85.76,9.20,-0.20,0.05,4.40
12357,211,89.69,9.26,-1.07,0.15,2.81
12412,213,79.62,8.81,-0.94,0.10,2.32
12468,214,70.46,7.89,-0.63,-0.05,2.44
12523,216,60.72,7.74,-0.52,0.05,4.40
12578,217,50.65,7.63,-0.40,0.10,3.05
12633,219,40.55,7.33,0.09,-0.09,7.09
12688,220,30.82,7.04,0.70,0.00,2.32
12743,222,35.66,7.37,1.44,0.05,0.61
12798,223,40.42,7.37,1.17,-0.09,4.03
12854,225,45.21,7.67,0.94,-0.14,0.85
12909,226,49.82,7.19,1.25,0.05,0.61
12964,228,54.46,7.21,1.31,-0.19,1.71
13019,229,59.42,6.79,1.56,-0.14,1.22
13074,231,50.92,6.20,1.66,0.05,7.33
13129,232,56.65,6.90,1.42,-0.14,2.93
13185,234,62.19,7.71,1.03,0.00,1.59
13246,236,67.86,8.21,0.81,-0.09,1.59
13301,237,59.22,8.05,-0.58,0.00,3.18
13357,239,64.27,8.43,-1.70,-0.14,2.32
13412,240,55.41,8.31,-1.26,0.05,3.66
13467,242,46.28,7.86,-1.30,0.00,5.62
13522,243,37.04,7.53,-1.01,0.20,2.44
13578,245,28.71,7.17,-0.81,0.05,4.28
13633,246,19.44,7.04,-0.42,-0.14,2.44
13688,248,24.85,7.35,-0.01,0.00,1.22
13743,249,29.50,7.62,0.30,-0.09,2.69
13798,251,34.63,8.18,0.41,-0.05,1.95
13853,252,39.39,8.84,1.05,0.15,1.22
13908,254,45.15,9.01,1.25,-0.05,1.10
13964,255,50.19,8.90,1.16,-0.09,0.98
14019,257,55.32,8.66,1.31,0.00,4.28
14074,258,60.54,8.56,1.32,0.00,2.69
14129,260,65.01,8.41,1.19,-0.09,2.93
14184,261,70.62,9.18,1.00,-0.05,4.89
14239,263,74.81,9.94,0.54,-0.14,5.50
14295,264,79.47,10.93,-0.26,0.05,3.42
14350,266,70.56,11.25,-1.26,-0.05,4.76
14405,267,60.99,11.62,-2.44,-0.05,4.76
14460,269,65.66,10.64,-3.03,0.00,6.11
14522,271,56.74,9.50,-2.94,-0.05,7.33
14577,272,47.32,9.10,-2.97,0.05,6.11
14632,274,37.91,8.53,-2.36,-0.05,4.15
