t,row,roll,pitch,yaw,i_arduino,i_servos
10465,0,7.13,0.04,0.00,0.15,0.08
10519,1,-0.20,-1.20,-0.08,-0.05,2.77
10574,3,4.50,0.67,1.33,0.05,2.77
10629,4,-2.41,0.85,2.89,0.05,1.30
10684,6,-9.59,1.26,3.15,-0.05,5.70
10739,7,-2.36,1.31,2.83,0.00,2.16
10795,9,4.09,1.53,3.25,-0.05,2.16
10855,11,10.59,1.80,4.12,0.00,1.79
10910,12,17.34,1.27,4.01,0.20,2.77
10966,14,22.97,1.18,4.47,-0.05,2.28
11021,15,28.62,0.93,5.84,0.05,5.21
11076,17,34.14,0.97,6.64,-0.05,5.70
11131,18,39.98,0.52,6.97,-0.05,2.89
11186,20,45.05,0.43,5.53,-0.09,5.46
11241,21,49.83,0.68,4.91,-0.05,2.28
11296,23,40.86,0.71,5.55,0.15,1.43
11358,25,45.72,-0.02,5.36,0.15,3.50
11413,26,50.35,-0.28,5.08,0.10,4.36
11468,28,54.71,-1.24,5.13,0.10,3.75
11523,29,59.82,-1.30,5.95,0.00,4.73
11578,31,50.30,-0.59,6.67,0.05,5.95
11633,32,55.27,-0.64,6.55,0.05,4.60
11688,34,59.90,-0.12,6.13,0.05,5.82
11744,35,64.04,-0.18,5.41,-0.14,5.09
11799,37,69.32,-0.19,5.12,-0.14,5.21
11854,38,74.30,0.09,5.34,-0.05,7.05
11909,40,78.70,0.26,5.07,-0.09,6.07
11964,41,82.78,0.84,4.45,-0.05,6.31
12019,43,87.66,0.60,4.13,0.00,6.44
12075,44,92.89,0.09,3.55,0.05,5.95
12130,46,97.53,-0.33,2.38,0.10,3.87
12185,47,101.77,-0.55,1.73,-0.05,3.75
12240,49,91.76,-0.69,1.68,0.05,2.16
12295,50,81.51,0.00,1.55,-0.05,0.69
12350,52,72.07,0.65,1.27,-0.14,1.79
12405,53,62.09,0.64,0.47,-0.14,1.18
12461,55,51.51,1.57,-0.45,0.05,3.38
12516,56,55.75,1.79,-0.35,-0.05,2.65
12571,58,45.40,2.66,0.99,0.00,1.79
12626,59,34.49,2.95,2.23,0.05,2.65
