Calibrando IMU...
IMU lista
Calibrando sensores...
Sensores listos
Sistema listo
t,row,roll,pitch,yaw,i_arduino,i_servos
18546,0,7.13,0.07,0.00,-0.01,1.86
18601,1,14.69,-1.32,0.11,0.13,1.50
18657,3,6.93,2.42,1.19,0.09,3.08
18712,4,-0.25,2.93,1.62,0.04,2.11
18767,6,6.61,3.45,1.58,-0.11,3.57
18822,7,13.22,3.67,1.80,0.04,1.74
18877,9,19.08,3.80,2.19,0.18,6.26
18932,10,10.61,4.04,2.91,-0.16,3.33
18988,12,3.23,3.51,2.74,0.04,1.50
19049,14,9.71,3.55,3.08,-0.06,3.82
19103,15,15.42,3.67,2.92,0.09,2.11
19159,17,21.70,3.76,2.86,0.13,1.99
19214,18,27.65,3.35,2.62,0.04,3.45
19269,20,33.75,3.60,2.76,-0.16,1.99
19324,21,38.85,2.92,2.44,-0.01,1.37
19380,23,44.27,2.46,2.30,0.28,1.13
19435,24,48.97,2.24,1.99,-0.21,2.47
19490,26,53.81,1.26,1.76,-0.11,3.21
19545,27,59.17,0.41,2.16,-0.01,3.45
19600,29,63.68,0.18,2.36,0.09,3.94
19655,30,68.08,0.97,2.63,-0.21,4.80
19710,32,71.80,1.20,2.34,-0.01,5.77
19772,34,76.05,1.95,1.89,-0.01,3.21
19827,35,79.62,1.67,1.02,-0.01,5.28
19883,37,83.42,1.50,0.58,-0.01,5.16
19938,38,87.99,1.44,0.61,0.04,4.06
19993,40,92.15,0.94,-0.14,-0.06,5.77
20048,41,95.53,1.25,-0.69,0.09,4.43
20103,43,99.32,1.10,-0.75,-0.06,5.16
20158,44,102.35,1.95,-0.36,0.09,6.87
20213,46,106.41,1.13,-0.66,0.04,6.38
20269,47,109.89,1.04,-1.06,0.04,5.16
20324,49,113.45,0.65,-1.52,-0.01,4.18
20379,50,117.21,0.41,-1.22,0.04,1.01
20434,52,106.73,0.60,-0.64,-0.11,0.64
20496,54,96.22,0.90,-1.16,-0.01,5.16
20551,55,84.82,1.27,-2.97,0.04,2.60
20606,57,87.47,1.40,-3.80,-0.01,1.86
20662,58,76.18,1.75,-2.87,-0.01,4.55
20717,60,65.18,2.69,-1.32,-0.11,4.18
20772,61,54.35,3.19,-0.22,-0.06,4.06
20827,63,57.60,4.74,0.71,-0.06,3.21
20882,64,60.65,4.99,1.08,0.13,2.72
20937,66,63.84,4.99,0.87,-0.01,1.74
20993,67,66.77,4.58,0.37,-0.06,2.72
21048,69,71.16,3.88,0.69,0.04,2.23
21103,70,75.96,3.70,1.13,-0.01,2.96
21158,72,80.31,2.57,1.76,0.04,2.60
21213,73,70.66,1.60,2.06,-0.26,3.21
21268,75,61.29,0.91,1.20,0.04,6.63
21323,76,66.13,1.09,0.61,0.09,3.94
21378,78,71.87,1.11,0.46,-0.11,2.84
21433,79,77.00,0.99,0.05,0.04,4.80
21488,81,67.03,1.40,-1.32,-0.01,5.77
21543,82,72.03,2.85,-2.32,0.04,4.06
21599,84,77.48,4.08,-2.74,-0.01,4.92
21654,85,67.98,5.03,-3.05,-0.06,4.18
21709,87,58.97,4.82,-4.06,-0.06,2.72
21764,88,49.49,5.00,-5.02,-0.01,3.82
21819,90,40.32,4.85,-5.17,-0.01,2.23
21874,91,31.60,4.84,-5.16,0.13,2.96
21929,93,22.94,5.15,-5.16,-0.11,4.31
21991,95,14.46,5.45,-4.68,-0.11,2.96
22046,96,20.05,5.70,-3.74,-0.16,4.80
22102,98,11.90,6.38,-3.29,0.13,4.18
22157,99,3.67,6.58,-2.98,-0.11,2.35
22212,101,10.18,6.73,-2.63,-0.06,5.28
22267,102,15.86,6.58,-1.98,-0.26,4.18
22322,104,7.40,6.28,-1.94,0.09,3.33
22377,105,13.50,5.71,-2.26,-0.01,5.53
22432,107,18.91,4.69,-2.42,0.09,4.18
22488,108,24.31,3.60,-1.87,-0.01,1.50
22543,110,16.28,3.16,-1.46,0.04,2.11
22598,111,22.35,3.02,-1.74,-0.11,1.86
22653,113,28.38,2.75,-2.10,-0.16,3.45
22709,114,34.55,3.34,-2.07,-0.16,2.72
22764,116,40.88,3.13,-2.03,0.04,3.82
22819,117,47.02,3.71,-2.55,-0.06,5.77
22874,119,53.10,4.22,-3.54,-0.11,5.53
22929,120,59.18,5.39,-4.13,-0.11,3.57
22984,122,51.04,6.13,-5.35,0.04,4.43
23040,123,42.14,6.34,-6.48,0.04,2.72
23095,125,33.27,6.29,-6.94,-0.16,2.60
23150,126,25.51,5.88,-6.17,-0.06,3.45
23205,128,17.54,5.62,-5.57,-0.01,5.04
23260,129,8.83,5.80,-5.26,0.04,5.16
23315,131,14.96,5.62,-4.81,0.04,6.26
23370,132,20.50,5.43,-4.15,-0.01,4.80
23426,134,11.45,4.89,-4.17,-0.11,6.63
23481,135,16.73,4.83,-3.58,-0.01,2.35
23536,137,22.25,4.68,-2.16,-0.01,1.13
23591,138,13.11,4.08,-1.91,0.04,2.84
23647,140,18.67,3.86,-2.59,-0.06,1.37
23702,141,24.26,3.44,-3.14,-0.01,1.50
23757,143,30.14,2.52,-3.01,0.18,4.18
23812,144,36.08,2.34,-2.72,-0.06,1.86
23867,146,42.10,1.51,-2.49,-0.16,1.37
23922,147,48.26,1.00,-2.67,0.04,3.33
23977,149,39.80,0.87,-3.08,-0.01,2.60
24039,151,46.35,1.53,-3.46,0.04,1.62
24094,152,38.55,2.76,-3.89,-0.01,2.23
24150,154,29.84,2.98,-5.11,-0.01,1.74
24205,155,21.08,2.53,-5.69,-0.06,2.35
24260,157,12.75,2.74,-5.00,0.18,3.45
24315,158,4.96,2.81,-4.11,-0.11,3.82
24370,160,-3.84,3.52,-3.67,-0.11,2.23
24425,161,-12.38,4.24,-3.19,-0.01,2.23
24480,163,-6.21,4.96,-2.81,0.04,2.47
24536,164,0.70,5.21,-2.18,0.09,1.99
24591,166,7.37,5.32,-2.30,0.04,1.74
24646,167,13.47,5.31,-2.90,-0.06,0.40
24701,169,19.26,4.77,-2.83,0.04,2.47
24757,170,25.41,4.07,-2.80,-0.01,0.76
24812,172,31.67,3.11,-2.64,-0.11,0.64
24867,173,38.59,4.42,-2.15,-0.16,2.84
24922,175,30.69,4.55,-2.74,0.09,2.60
24977,176,37.85,4.66,-3.34,0.13,3.33
25032,178,44.47,5.14,-3.51,-0.06,3.33
