time_s,hip_fl_rad,knee_fl_rad,hip_fr_rad,knee_fr_rad,hip_rl_rad,knee_rl_rad,hip_rr_rad,knee_rr_rad,hip_fl_deg,knee_fl_deg,hip_fr_deg,knee_fr_deg,hip_rl_deg,knee_rl_deg,hip_rr_deg,knee_rr_deg
0,-0.823419272003502,1.64683854400701,-0.823419272003502,1.64683854400701,-0.823419272003502,1.64683854400701,-0.823419272003502,1.64683854400701,-47.1784490555354,94.3568981110709,-47.1784490555354,94.3568981110709,-47.1784490555354,94.3568981110709,-47.1784490555354,94.3568981110709
0.025,-0.836719259954771,1.61965132838948,-0.839524735571847,1.62029565082479,-0.843364962712234,1.62776007828836,-0.843522056256394,1.62806212659411,-47.940482232718,92.7991853994743,-48.1012241451033,92.8361023556632,-48.321252952619,93.2637825458076,-48.3302537496882,93.2810886389362
0.05,-0.860835493382948,1.62833468951089,-0.854104319084578,1.60564581782621,-0.854667513676477,1.62551285699081,-0.854846111406804,1.6257530863203,-49.3222406259048,93.2967053437194,-48.9365727474413,91.9967287542735,-48.9688414206017,93.135026249826,-48.9790743167801,93.1487903765208
0.075,-0.855103028991238,1.59699618706176,-0.867810168686775,1.59023661320095,-0.868941489706714,1.62008089236835,-0.869106442291681,1.62018253697069,-48.9937946100508,91.5011414171238,-49.7218600842882,91.1138463635925,-49.7866800040052,92.8237976024949,-49.7961310909435,92.8296214092189
0.1,-0.876814244157116,1.5828066452002,-0.887497967089206,1.57404610430061,-0.885990123638582,1.61056255620139,-0.886082103284012,1.61055265882985,-50.2377556071561,90.6881405552323,-50.8498878406519,90.1861985354337,-50.7634947747647,92.2784371121409,-50.768764820249,92.2778700345233
0.125,-0.895672633831912,1.56445851067275,-0.870958158552404,1.59038981814864,-0.897943482690977,1.59281843660728,-0.899814266784523,1.59535328958477,-51.318261743935,89.6368698848711,-49.9022266175387,91.1226243604955,-51.4483717994715,91.2617739482229,-51.5555598324119,91.4070103255198
0.15,-0.912981121957587,1.54899981684822,-0.840282714872582,1.61966882582676,-0.889420929484941,1.61430017046112,-0.917302254292395,1.5813881666977,-52.3099650632884,88.7511519719403,-48.1446531599937,92.8001879287831,-50.9600654700899,92.4925866346714,-52.5575477087905,90.6068677237089
0.175,-0.932342352478946,1.53326640392199,-0.808878574835536,1.64949030157439,-0.864487539222042,1.63878719476486,-0.93982126235299,1.57029721564,-53.4192818583422,87.8496938139312,-46.3453284766332,94.5088326279737,-49.5314874390732,93.8955897801098,-53.8477918294836,89.9714030373167
0.2,-0.954512674333088,1.51712088628276,-0.777222063128464,1.67897141183383,-0.83638056702264,1.65812442355292,-0.965975595011901,1.55991548430168,-54.6895477310311,86.9246237951493,-44.5315439617114,96.1979758211998,-47.9210765571559,95.0035313771446,-55.3463247068204,89.3765736475923
0.225,-0.978672345448919,1.50075430189537,-0.745511786916093,1.70796676265309,-0.809040491145195,1.66881892345086,-0.993869090844284,1.54857558811353,-56.0737949203924,85.9868875847071,-42.7146789675485,97.8592870486445,-46.3546055978109,95.6162810853,-56.9445042938817,88.7268454558944
0.25,-1.00448753172215,1.48392569985867,-0.7138699513072,1.73661902190625,-0.783641244606534,1.67448626185496,-1.0228468410376,1.53557451309854,-57.5528961411923,85.022679712899,-40.9017353311121,99.5009405773652,-44.8993359683334,95.940995656927,-58.6048070797434,87.981938728403
0.275,-1.03173457745206,1.46624125226265,-0.682295222966363,1.76393574886782,-0.760652385819899,1.67409740458512,-1.05268876175982,1.52061718854935,-59.1140368657165,84.0094355026266,-39.0926366579101,101.066073742374,-43.582171384037,95.9187157765324,-60.3146231896905,87.1249471589269
0.3,-1.06008702224408,1.44717519335059,-0.650726847312874,1.78777598656043,-0.741939451400351,1.67180304013558,-1.08335059386635,1.50370364216207,-60.7385122911771,82.9170307950177,-37.2839019668816,102.43201874475,-42.5099992194918,95.7872583769088,-62.0714167615329,86.1558723343368
0.325,-1.08849965581186,1.42593361416371,-0.618966475241975,1.80422619459977,-0.727494915046666,1.66737513747801,-1.11391366163099,1.48431764238396,-62.3664362794625,81.6999779574163,-35.4641666914539,103.374546237516,-41.6823882494023,95.5335582425355,-63.8225515534192,85.0451363654097
0.35,-1.11468300525872,1.40303467736346,-0.586401641577232,1.80993602442681,-0.714700082872083,1.66174560901709,-1.13961446205123,1.4595272272489,-63.8666316962835,80.3879655234255,-33.5983391619186,103.701695388344,-40.9492983662205,95.2110100210757,-65.2950989476075,83.6247502057936
0.375,-1.13111049679896,1.37628288408592,-0.552018256287571,1.79683830322857,-0.689135754413361,1.65535492266898,-1.13137901041311,1.47233607606726,-64.8078576295263,78.8552006742159,-31.6283162994489,102.951251242445,-39.4845702394496,94.8448506651374,-64.8232423263587,84.3586431835067
0.4,-1.14394047030882,1.34806906523725,-0.51968155833688,1.78536340261848,-0.656939579039479,1.64898508142943,-1.11685453897003,1.48096685137247,-65.5429609629058,77.2386679302406,-29.7755599834849,102.293787867155,-37.6398652740631,94.4798856459425,-63.9910514130121,84.8531501824206
