time_ms,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15
4500,100,84,118,90,89,105,122,90,90,98,44,60,93,75,50,90
4550,100,85,116,90,89,109,124,90,90,98,43,62,93,75,50,90
4600,100,83,114,90,89,113,126,90,90,98,41,64,93,76,50,90
4650,100,83,111,90,89,116,128,90,90,98,40,66,93,79,51,90
4700,100,81,109,90,89,120,130,90,90,98,39,69,93,82,53,90
4750,100,80,106,90,89,124,129,90,90,98,38,71,93,85,54,90
4800,100,80,103,90,89,128,129,90,90,98,37,73,93,88,55,90
4850,100,79,100,90,89,129,128,90,90,98,36,76,93,91,55,90
4900,100,77,99,90,89,126,127,90,90,98,36,73,93,88,53,90
4950,100,78,102,90,89,123,126,90,90,98,37,70,93,86,52,90
5000,100,79,105,90,89,120,124,90,90,98,38,66,93,83,50,90
5050,100,80,109,90,89,116,122,90,90,98,39,63,93,81,50,90
5100,100,81,112,90,89,113,120,90,90,98,41,59,93,78,50,90
5150,100,83,116,90,89,109,118,90,90,98,45,56,93,74,50,90
5200,100,85,119,90,89,106,116,90,90,98,48,57,93,71,50,90
5250,100,87,121,90,89,102,116,90,90,98,47,60,93,69,50,90
5300,100,91,120,90,89,104,119,90,90,98,45,61,93,71,50,90
5350,100,89,118,90,89,108,123,90,90,98,43,63,93,72,50,90
5400,100,87,116,90,89,112,126,90,90,98,41,65,93,74,50,90
5450,100,85,114,90,89,116,128,90,90,98,40,68,93,77,50,90
5500,100,84,111,90,89,119,130,90,90,98,39,70,93,81,51,90
5550,100,83,108,90,89,123,130,90,90,98,38,73,93,84,52,90
5600,100,83,106,90,89,126,129,90,90,98,37,75,93,87,53,90
5650,100,81,105,90,89,123,128,90,90,98,36,72,93,85,51,90
5700,100,81,108,90,89,120,126,90,90,98,37,69,93,83,50,90
5750,100,82,111,90,89,116,124,90,90,98,39,66,93,80,50,90
5800,100,84,114,90,89,113,122,90,90,98,40,62,93,77,50,90
5850,100,85,118,90,89,109,120,90,90,98,44,59,93,73,50,90
5900,100,87,121,90,89,105,118,90,90,98,46,59,93,70,50,90
5950,100,89,121,90,89,104,121,90,90,98,44,60,93,71,50,90
6000,100,93,120,90,89,108,124,90,90,98,42,63,93,73,50,90
6050,100,93,117,90,89,112,127,90,90,98,41,64,93,75,50,90
6100,100,91,116,90,89,115,129,90,90,98,39,67,93,77,50,90
6150,100,90,114,90,89,119,131,90,90,98,39,70,93,81,50,90
6200,100,89,111,90,89,123,131,90,90,98,38,73,93,84,52,90
6250,100,87,109,90,89,126,131,90,90,98,38,76,93,88,53,90
6300,100,87,109,90,89,130,128,90,90,98,37,79,93,91,53,90
6350,100,85,107,90,89,127,127,90,90,98,37,76,93,89,51,90
6400,100,85,110,90,89,124,126,90,90,98,38,72,93,87,50,90
6450,100,88,113,90,89,120,124,90,90,98,39,69,93,84,50,90
6500,100,91,116,90,89,117,122,90,90,98,42,65,93,81,50,90
6550,100,94,120,90,89,113,119,90,90,98,44,62,93,77,50,90
6600,100,96,123,90,89,109,117,90,90,98,48,58,93,74,50,90
6650,100,99,125,90,89,105,115,90,90,98,51,58,93,70,50,90
6700,100,103,122,90,89,103,115,90,90,98,49,60,93,70,50,90
6750,100,106,118,90,89,105,118,90,90,98,46,61,93,70,50,90
6800,100,104,117,90,89,108,122,90,90,98,44,62,93,72,50,90
6850,100,101,116,90,89,112,125,90,90,98,42,64,93,75,50,90
6900,100,99,115,90,89,115,128,90,90,98,40,67,93,78,50,90
6950,100,97,114,90,89,119,130,90,90,98,39,70,93,82,51,90
7000,100,98,114,90,89,123,130,90,90,98,39,74,93,86,52,90
7050,100,97,113,90,89,126,129,90,90,98,38,77,93,89,55,90
7100,100,95,112,90,89,130,128,90,90,98,37,80,93,91,55,90
7150,100,92,112,90,89,127,127,90,90,98,37,78,93,89,52,90
7200,100,92,115,90,89,123,125,90,90,98,38,75,93,86,51,90
7250,100,95,118,90,89,120,123,90,90,98,39,71,93,83,50,90
7300,100,99,120,90,89,117,121,90,90,98,42,68,93,80,50,90
7350,100,102,122,90,89,114,119,90,90,98,44,64,93,77,50,90
7400,100,105,123,90,89,110,117,90,90,98,48,61,93,74,50,90
7450,100,108,124,90,89,106,115,90,90,98,51,57,93,70,50,90
7500,100,108,124,90,89,102,111,90,90,98,55,59,93,66,50,90
7550,100,108,121,90,89,102,115,90,90,98,51,60,93,63,50,90
7600,100,106,121,90,89,104,118,90,90,98,48,61,93,65,50,90
7650,100,103,120,90,89,108,121,90,90,98,46,62,93,68,50,90
7700,100,100,119,90,89,112,125,90,90,98,44,64,93,71,50,90
7750,100,97,117,90,89,115,128,90,90,98,42,67,93,74,51,90
7800,100,95,116,90,89,119,130,90,90,98,41,70,93,78,51,90
7850,100,96,116,90,89,123,131,90,90,98,40,73,93,81,53,90
7900,100,95,114,90,89,127,131,90,90,98,40,76,93,85,55,90
7950,100,93,113,90,89,130,129,90,90,98,39,79,93,87,56,90
8000,100,93,114,90,89,134,126,90,90,98,38,83,93,90,56,90
8050,100,92,112,90,89,133,125,90,90,98,38,83,93,91,55,90
8100,100,89,114,90,89,130,124,90,90,98,38,80,93,89,53,90
8150,100,92,117,90,89,127,122,90,90,98,39,76,93,86,52,90
8200,100,95,119,90,89,124,120,90,90,98,41,73,93,83,51,90
8250,100,99,119,90,89,121,118,90,90,98,44,70,93,80,50,90
8300,100,103,118,90,89,117,116,90,90,98,47,66,93,77,50,90
8350,100,106,117,90,89,114,114,90,90,98,50,63,93,73,50,90
8400,100,108,116,90,89,110,111,90,90,98,54,59,93,70,50,90
8450,100,108,117,90,89,106,109,90,90,98,57,57,93,66,50,90
8500,100,108,120,90,89,104,107,90,90,98,61,60,93,65,50,90
8550,100,108,119,90,89,102,107,90,90,98,59,62,93,65,50,90
